seed,n,m,target_r,delta,method,tau,neff,lambda_hat,achieved_risk_test,slack,utility,violation,runtime_fit_ratio,runtime_crc,severity,n_cal
0,200,500,0.1,0.1,uniform,1.0,200.0,0.99,1.1695,1.1605547640469527,0.0,1.0695,1.31050001073163e-05,0.0011649999978544656,0.0,200
0,200,500,0.1,0.1,oracle,1.0,200.0,0.99,1.1695,1.1605547640469527,0.0,1.0695,3.9480000850744545e-06,0.0011386990008759312,0.0,200
0,200,500,0.1,0.1,oracle+clip,1.0,200.0,0.99,1.1695,1.1605547640469527,0.0,1.0695,1.0669999028323218e-05,0.001166693000413943,0.0,200
0,200,500,0.1,0.1,oracle+clip,2.0,200.0,0.99,1.1695,1.1663112267794378,0.0,1.0695,7.433998689521104e-06,0.0011398110000300221,0.0,200
0,200,500,0.1,0.1,oracle+clip,5.0,200.0,0.99,1.1695,1.183580614976893,0.0,1.0695,6.591999408556148e-06,0.0011452520011516754,0.0,200
0,200,500,0.1,0.1,oracle+clip,10.0,200.0,0.99,1.1695,1.2123629286393185,0.0,1.0695,6.492999091278762e-06,0.0014897229993948713,0.0,200
0,200,500,0.1,0.1,oracle+clip,20.0,200.0,0.99,1.1695,1.2699275559641698,0.0,1.0695,8.244998753070831e-06,0.0014638639986515045,0.0,200
0,200,500,0.1,0.1,oracle+clip,50.0,200.0,0.99,1.1695,1.4426214379387232,0.0,1.0695,7.884998922236264e-06,0.0012677670019911602,0.0,200
0,200,500,0.1,0.1,learned,1.0,177.27492201114202,0.99,1.1695,1.1661285690893095,0.0,1.0695,0.001941031001479132,0.0012243029996170662,0.0,200
0,200,500,0.1,0.1,learned+clip,1.0,194.91157674037632,0.99,1.1695,1.1650146333419997,0.0,1.0695,0.0021140040007594507,0.001533657999971183,0.0,200
0,200,500,0.1,0.1,learned+clip,2.0,180.4423673925771,0.99,1.1695,1.1718379250841036,0.0,1.0695,0.003573568999854615,0.0011756399981095456,0.0,200
0,200,500,0.1,0.1,learned+clip,5.0,177.27492201114202,0.99,1.1695,1.1867852802193464,0.0,1.0695,0.0020544090002658777,0.0018387650015938561,0.0,200
0,200,500,0.1,0.1,learned+clip,10.0,177.27492201114202,0.99,1.1695,1.2126061691318926,0.0,1.0695,0.0023231859995576087,0.001458273000025656,0.0,200
0,200,500,0.1,0.1,learned+clip,20.0,177.27492201114202,0.99,1.1695,1.2642479469569847,0.0,1.0695,0.0019839839987980668,0.0013362089994188864,0.0,200
0,200,500,0.1,0.1,learned+clip,50.0,177.27492201114202,0.99,1.1695,1.4191732804322614,0.0,1.0695,0.0016369359982491005,0.0012990569994144607,0.0,200
0,200,500,0.1,0.1,naive-learned-no-split,1.0,183.08007236151298,0.99,1.1695,1.1730599231937435,0.0,1.0695,0.0017365690000588074,0.0013296859979163855,0.0,200
0,500,500,0.1,0.1,uniform,1.0,500.0,0.99,1.162,1.1281639893371445,0.0,1.0619999999999998,1.831500048865564e-05,0.0013220909968367778,0.0,500
0,500,500,0.1,0.1,oracle,1.0,500.0,0.99,1.162,1.1281639893371445,0.0,1.0619999999999998,3.4570002753753215e-06,0.0014205509978637565,0.0,500
0,500,500,0.1,0.1,oracle+clip,1.0,500.0,0.99,1.162,1.1281639893371445,0.0,1.0619999999999998,1.03089987533167e-05,0.001330507999227848,0.0,500
0,500,500,0.1,0.1,oracle+clip,2.0,500.0,0.99,1.162,1.1304665744301385,0.0,1.0619999999999998,1.5340003301389515e-05,0.0020378670014906675,0.0,500
0,500,500,0.1,0.1,oracle+clip,5.0,500.0,0.99,1.162,1.1373743297091208,0.0,1.0619999999999998,1.6410998796345666e-05,0.0013008309979340993,0.0,500
0,500,500,0.1,0.1,oracle+clip,10.0,500.0,0.99,1.162,1.148887255174091,0.0,1.0619999999999998,8.645998605061322e-06,0.0013832689983246382,0.0,500
0,500,500,0.1,0.1,oracle+clip,20.0,500.0,0.99,1.162,1.1719131061040313,0.0,1.0619999999999998,1.1191001249244437e-05,0.0013285029999678954,0.0,500
0,500,500,0.1,0.1,oracle+clip,50.0,500.0,0.99,1.162,1.2409906588938528,0.0,1.0619999999999998,9.368002793053165e-06,0.0014881000024615787,0.0,500
0,500,500,0.1,0.1,learned,1.0,485.9049633952241,0.99,1.162,1.1298002569182202,0.0,1.0619999999999998,0.0021705930012103636,0.0013326110019988846,0.0,500
0,500,500,0.1,0.1,learned+clip,1.0,496.2652237511716,0.99,1.162,1.1291758865208448,0.0,1.0619999999999998,0.0017191750011988916,0.0014345769995998126,0.0,500
0,500,500,0.1,0.1,learned+clip,2.0,485.9049633952241,0.99,1.162,1.132035454321058,0.0,1.0619999999999998,0.0018583519995445386,0.001320517996646231,0.0,500
0,500,500,0.1,0.1,learned+clip,5.0,485.9049633952241,0.99,1.162,1.138741046529571,0.0,1.0619999999999998,0.002227081000455655,0.001876717997220112,0.0,500
0,500,500,0.1,0.1,learned+clip,10.0,485.9049633952241,0.99,1.162,1.1499170335437598,0.0,1.0619999999999998,0.0017427099992346484,0.0014002320021972992,0.0,500
0,500,500,0.1,0.1,learned+clip,20.0,485.9049633952241,0.99,1.162,1.1722690075721371,0.0,1.0619999999999998,0.0020501910003076773,0.0016992460004985332,0.0,500
0,500,500,0.1,0.1,learned+clip,50.0,485.9049633952241,0.99,1.162,1.2393249296572693,0.0,1.0619999999999998,0.0017237840002053417,0.0013776980013062712,0.0,500
0,500,500,0.1,0.1,naive-learned-no-split,1.0,478.0122866462595,0.99,1.162,1.126700841811922,0.0,1.0619999999999998,0.0019714400004886556,0.0013929480010119732,0.0,500
0,1000,500,0.1,0.1,uniform,1.0,1000.0,0.99,1.153,1.1191365516683778,0.0,1.053,9.056999260792509e-06,0.0015130780011531897,0.0,1000
0,1000,500,0.1,0.1,oracle,1.0,1000.0,0.99,1.153,1.1191365516683778,0.0,1.053,5.981997674098238e-06,0.001611778003280051,0.0,1000
0,1000,500,0.1,0.1,oracle+clip,1.0,1000.0,0.99,1.153,1.1191365516683778,0.0,1.053,1.1602001904975623e-05,0.001950268997461535,0.0,1000
0,1000,500,0.1,0.1,oracle+clip,2.0,1000.0,0.99,1.153,1.1202878442148747,0.0,1.053,9.298000804847106e-06,0.0017315980003331788,0.0,1000
0,1000,500,0.1,0.1,oracle+clip,5.0,1000.0,0.99,1.153,1.1237417218543657,0.0,1.053,9.88899773801677e-06,0.0014993619988672435,0.0,1000
0,1000,500,0.1,0.1,oracle+clip,10.0,1000.0,0.99,1.153,1.1294981845868508,0.0,1.053,9.226998372469097e-06,0.0019880410000041593,0.0,1000
0,1000,500,0.1,0.1,oracle+clip,20.0,1000.0,0.99,1.153,1.1410111100518212,0.0,1.053,9.928997315000743e-06,0.0015491679987462703,0.0,1000
0,1000,500,0.1,0.1,oracle+clip,50.0,1000.0,0.99,1.153,1.1755498864467318,0.0,1.053,1.2304000847507268e-05,0.0015915500007395167,0.0,1000
0,1000,500,0.1,0.1,learned,1.0,983.1857053523175,0.99,1.153,1.1213683578021032,0.0,1.053,0.0017934279967448674,0.0018334039996261708,0.0,1000
0,1000,500,0.1,0.1,learned+clip,1.0,994.4590603072119,0.99,1.153,1.1204381876055578,0.0,1.053,0.002765437002381077,0.0015886840010352898,0.0,1000
0,1000,500,0.1,0.1,learned+clip,2.0,983.1857053523175,0.99,1.153,1.1225163948305803,0.0,1.053,0.0018075940024573356,0.0015110739986994304,0.0,1000
0,1000,500,0.1,0.1,learned+clip,5.0,983.1857053523175,0.99,1.153,1.1259605059160114,0.0,1.053,0.0017521179979667068,0.0017381409998051822,0.0,1000
0,1000,500,0.1,0.1,learned+clip,10.0,983.1857053523175,0.99,1.153,1.1317006910583967,0.0,1.053,0.0018959850021929014,0.001708174000668805,0.0,1000
